name,Negative3_0605,NegativeSab_0905,Negative_0705,Negative_0805,Negative_1305,Negative_2504,Negcontrole_librrun,PEDI00208_Rand,PEDI00209_Rand,PEDI00210_Rand,PEDI00211_Rand,PEDI00212_Rand,PEDI00213_Rand,PEDI00214_Rand,PEDI00216_Rand,PEDI00217_Rand,PEDI00218_Rand,PEDI00221_Rand,PEDI00232_Rand,PEDI00237_Rand,PEDI00238_Rand,PEDI00239_Rand,PEDI00240_Rand,PEDI00241_Rand,PEDI00242_Rand,PEDI00243_Rand,PEDI00244_Rand,PEDI00245_Rand,PEDI00246_Rand,PEDI00247_Rand,PEDI00248_Rand,PEDI00249_Rand,PEDI00250_Rand,PEDI00251_Rand,PEDI00252_Rand,PEDI00257_Rand,PEDI00261_Rand,PEDI00264_Rand,PEDI00268_Rand,PEDI00270_Rand,PEDI01152_Rand,PEDI01153_Rand,PEDI01154_Rand,PEDI01160_Rand,PEDI01161_Rand,PEDI01162_Rand,PEDI01163_Rand,PEDI01164_Rand,PEDI01165_Rand,PEDI01167_Rand,PEDI01169_Rand,PEDI01172_Rand,PEDI01174_Rand,PEDI01178_Rand,PEDI01181_Rand,PEDI01183_Rand,PEDI01184_Rand,PEDI01185_Rand,PEDI01187_Rand,PEDI01189_Rand,PEDI01192_Rand,PEDI01193_Rand,PEDI01195_Rand,PEDI01196_Rand,PEDI01197_Rand,PEDI01198_Rand,PEDI01199_Rand,PEDI01200_Rand,PEDI01201_Rand,PEDI01202_Rand,PEDI01203_Rand,PEDI01204_Rand,PEDI01206_Rand,PEDI01207_Rand,PEDI01208_Rand,PEDI01209_Rand,PEDI01210_Rand,PEDI01212_Rand,PEDI01213_Rand,PEDI01214_Rand,PEDI01215_Rand,PEDI01216_Rand,PEDI02946_Rand,PEDI02947_Rand,PEDI02949_Rand,PEDI02951_Rand,PEDI02958_Rand,PEDI02963_Rand,PEDI02964_Rand,PEDI02966_Rand,PEDI02991_Rand,PEDI02994_Rand,PEDI02995_Rand,PEDI02999_Rand,PEDI03000_Rand,Positive_1305
UMGS263 sp900540535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,303,0,0,0,0,15,0,0,0,24,0,0,620,0,53,0,105,0,54,0,0,0,0,0,29,149,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,586
Prevotella sp900543975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13354,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,146,84,0,398,0,1364,0,6319,0,1937,0,56,7398,20,0,8943,66,0,0,72,17,0,0,0,154,0,983,0,76,0,0,0,0,0,0,0,133,0,0,0,0,0,0,53,0,0,12,47,50,0,0,0,0,0,0,0,0,17,0,0,150,0,714
Intestinibacter bartlettii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11765,0,0,0,0,0,0,0,0,0,0,0,1920,18,0,0,0,66,0,0,308983,0,134,0,12098,16,2034,0,0,0,32,0,1492,0,0,0,338,142,0,0,0,21,0,1002,0,0,13,59,0,220,0,25950,48,17,0,0,0,12,0,0,81,0,164,12,0,12558,12,0,0,0,961,0,0,0,0,15,129,150,0,38
Lachnospira sp900545725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,10,75,0,0,0,0,0,0,1654,0,326,0,200,0,194,0,0,29,0,0,311,0,0,0,0,15,0,0,0,0,0,889,0,0,224,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,19,0,1645
Lactobacillus delbrueckii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,20,0,0,3738,0,71,0,0,0,0,20,0,18,0,0,16,162,0,0,0,0,0,0,0,0,0,111,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,212,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
CAG-617 sp000431275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,62,0,95,0,0,62,0,0,134,357,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314
Xanthomonas_B massiliensis,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,0,22,0,0,0,15,0,0,0,1213,0,0,0,17,16,0,64,0,42,26,0,303,0,114,0,131,0,59,125,79,24,0,0,75,13599,0,0,19,0,0,0,0,16,0,1535,0,0,43,0,0,0,0,0,0,11,0,40,0,12,0,0,0,0,11,0,0,41,15,0,0,12,12,12,0,0,0,0,0,96,0,11
UMGS1670 sp900546215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,11,0,0,0,12,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
Paenibacillus_A rubinfantis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,15,0,0,28,0,0,0,0,12,165,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanobacillus caeni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,37,0,0,63,0,16,0,42,0,19,0,0,0,0,0,0,64,0,0,16,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0
Blautia_A wexlerae_A,0,0,0,0,0,0,0,169,0,61,0,0,0,49,0,100,230890,174,0,0,0,0,0,122,0,0,0,0,555,34619,0,0,0,219,0,145,262357,30,3350,0,2641,261,125651,0,74,817,72,0,81363,0,0,0,380,3972,0,0,0,2645,0,2779,0,481,59,19,0,1582,0,0,31,0,0,58,127,305,0,0,2816,32,2454,491,219,50454,1116,31,0,0,0,0,0,0,760,216,4997,0,0,657626
Blautia_A wexlerae_B,0,0,0,0,0,0,0,43,0,0,0,0,0,13,0,27,52879,28,0,0,0,0,0,34,13742,0,0,0,133,7933,0,0,0,33,0,19,63361,0,487,0,568,57,28121,0,15,0,18,0,19089,0,0,0,143,1001,0,0,0,734,0,711,0,0,0,0,0,311,0,0,0,0,0,16,42,78,0,0,611,0,764,182,72,10526,326,0,0,0,0,0,0,0,180,45,991,0,0,137749
UMGS1487 sp900552225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,0,0,52,0,94,0,41,0,63,0,0,0,0,0,38,172,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,97
Enterocloster sp900549235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2366,0,120,0,490,0,74,0,0,0,0,0,1073,0,0,0,0,0,0,0,0,0,0,28,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,1165
Bacteroides sp007896885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,24,35,0,1170,0,0,0,120,0,196,0,0,39,0,0,327,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,33,0,34,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,391
Prevotella sp004556065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,45,14,0,414,0,196,0,242,0,299,0,19,1127,0,0,501,0,0,0,0,0,0,0,0,0,0,104,0,22,0,0,0,0,0,79,0,55,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,20,0,42
Flavobacterium lindanitolerans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,52,0,0,0,0,22,0,0,0,13,0,0,0,0,0,0,18,0,25,0,0,0,0,0,15,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
UBA733 sp900767825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,34,0,12,0,0,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-460 sp900551525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA4372 sp900766785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,0,56,0,0,0,28,0,44,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacrimispora sp902363735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,16,0,0,0,0,12,0,0,0,0,0,0,219,0,122,0,25,0,32,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,22,0,73
CAG-217 sp000436335,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,155930,0,0,0,0,0,0,0,0,0,0,0,0,4751,0,0,0,0,0,0,2516,0,17,0,71,0,46861,0,12,0,0,0,15,83,0,0,0,262,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,0,0,0,0,11,0,0,0,0,0,107,0,0,0,0,0,0,0,42
Citrobacter_A sp009363175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,183,0,0,0,14,29,0,0,0,0,29,0,5961,0,91,0,198,0,0,1093,0,590,0,0,830,287,0,0,0,0,0,0,0,0,0,199,0,522,0,13,0,0,0,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,31,0,17
Duncaniella sp900762315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,15,0,0,0,172,0,91,0,0,409,0,0,45,131,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
Lacrimispora sp000526575,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1140,0,0,0,0,0,0,0,15,0,0,0,237,614,0,0,0,12,0,0,2820,0,108,0,75,0,348,0,0,0,0,0,461,0,0,0,0,12,0,0,0,30,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,18965
UMGS1670 sp902406135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,87,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,12,0,2317,0,39,0,133,0,33,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4993
CAG-170 sp900555665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,17,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174
Campylobacter lanienae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA1712 sp900766815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Bifidobacterium sp002884815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10
Escherichia marmotae,0,0,0,0,0,0,0,0,29,101,121,19,15,0,250,11,7959,0,0,0,0,0,16,0,12514,0,16,10,1868,883,0,0,0,0,4159,0,3568,0,5804,129,24255,76,60,25229,0,61993,0,10,92083,115,0,21,29,50,0,0,0,273,12,9125,10,14304,0,565,0,17,0,52904,121,85,0,594,177,37,10,0,117,18,0,0,263,17434,0,0,27,36,21,0,0,0,0,0,30,111,0,0
Lawsonibacter sp900066645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,72,0,0,1710,0,1377,0,746,0,399,0,0,0,0,0,620,0,0,0,14,22,0,0,0,0,0,273,0,0,0,0,0,19,0,0,0,11,0,14,0,13,0,0,0,0,37,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,6765
CAG-110 sp900554705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,18,0,0,23,0,19,0,0,0,34,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
Ferdinandcohnia timonensis,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,13,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,17,0,0,18,0,0,0,24,0,0,0,0,10,0,0,11,39,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
UBA10677 sp003533505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_P ventriculi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,46,11,0,76,0,24,0,107,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,118,0,0,35,0,25
Enterococcus_D sp002850555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216487,0,0,0,113,0,0,0,0,15,0,0,354,0,0,0,10,0,0,0,0,67,0,0,0,15,0,0,0,0,0,0,0,0,0,32817,0,11,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,147,0,0
Dysosmobacter sp000436875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,150,0,0,185,0,384,0,992,0,231,0,0,0,0,0,193,175,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,742
Sutterella wadsworthensis_A,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,16671,22,0,0,0,0,0,24,26,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,203,0,141,0,31,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,127,0,0,0,12,0,0,0,0,0,10,0,0,0,0,0,0,0,0,16,0,0,0,0,0,13,0,0,0,0,0,33,0,38,0,0,278
HGM05376 sp900769785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterocloster sp900770345,0,0,0,0,0,0,0,0,15,14,16,12,0,0,20,0,3108,0,0,0,0,0,0,0,1235,0,0,0,335,335,0,0,0,108,23,0,2202,0,1458,0,5282,0,138,1649,0,12416,0,0,13847,46,0,0,0,0,0,0,0,86,0,420,0,646,0,178,0,11,0,4073,19,70,0,123,54,15,0,0,72,0,14,0,30,2525,0,0,0,0,0,0,0,0,0,0,0,44,0,638
CAG-196 sp900553895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,22,0,552,0,559,0,0,1187,0,0,114,0,0,0,0,0,0,0,0,0,0,37,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Lactobacillus paragasseri,0,0,0,0,0,0,0,0,12,0,1647,1691,0,47,378,0,0,0,0,0,0,168,0,0,356,584,0,0,7338,0,0,0,0,0,733,0,0,0,297,0,0,0,45,0,0,33,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,18146,0,0,0,0,0,0,256,0,49,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,101,0,0
CAG-273 sp900752095,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,130,0,22,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Clostridium_F botulinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,152,0,0,0,62,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,58
Prevotellamassilia sp900546605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9229,0,0,0,0,0,0,0,0,0,0,0,0,547,0,0,0,245,36,0,1456,0,91,0,864,0,3444,0,0,13719,0,0,2087,0,0,0,0,0,0,0,0,43,0,138,0,94,0,0,0,0,0,44,0,60,0,0,0,0,0,0,13,0,0,16,0,48,0,0,0,0,0,0,0,0,0,0,0,380,0,24
UBA7597 sp003448195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7628,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Akkermansia sp900545155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,190,93,0,0,0,13,0,0,0,0,0,49,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,14,0,98
Robinsoniella sp900539655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,693,0,0,0,0,0,0,0,796,0,0,0,78,45,0,0,0,13,218,0,8972,0,448,35,2538,0,57,1490,0,1750,0,0,6868,0,0,0,0,0,0,0,0,29,0,178,0,521,0,16,0,31,0,755,0,0,0,15,17,0,0,0,0,0,0,0,25,654,0,0,0,0,0,0,0,0,0,0,0,63,0,827
Pradoshia sp001183965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,40,12,0,0,0,0,0,0,15,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
S5-A14a sp900553025,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,954,11,0,16,0,0,0,62,0,0,0,6043,0,500,0,0,0,204,0,0,47,2934,66,0,78219,943,106369,0,1395,391,20523,0,79,34,0,0,5888,4414,0,0,0,434,0,606,0,0,0,8789,0,10,755,0,0,239,0,0,0,404,0,0,61,0,0,11,0,93,0,40,92,0,2888,20894,0,0,14308,0,209,0,77,136
Eubacterium_R sp000431535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,15,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Collinsella sp900767675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,59,0,0,0,0,0,34,0,0,0,0,0,0,0,0,61,0,290,0,538,0,0,337,0,0,1039,0,0,0,0,0,0,0,0,175,0,856,0,0,71,0,0,0,0,0,0,0,0,26,51,70,0,0,0,0,111,0,79,0,0,0,0,0,0,0,0,0,0,0,41,479,0,155
Parabacteroides merdae,0,0,0,0,0,0,0,13,0,15,0,0,0,50,0,21,205663,172,0,0,11,0,0,0,0,0,0,0,0,13,0,0,0,1751,16,0,83156,0,21,331,7090,125,41454,0,60,621,146,0,7384,17,0,0,610,326,0,0,0,82,0,15202,0,0,389,17,0,0,0,3242,19,199,0,1070,0,28,0,0,379,0,941,35,95,1436,0,13,0,0,2372,21,0,0,24,0,814,307,0,8515
Succinivibrio sp900548485,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,203,0,0,0,0,0,0,0,1220,0,0,0,0,0,0,0,0,31,24,0,719,0,128,11,289,0,522,0,27,114,0,0,235,0,0,0,0,0,0,0,0,20,0,370,0,0,0,0,0,0,0,1551,0,0,0,0,16,0,0,0,12,0,13,0,0,45,0,0,0,0,0,0,0,0,0,0,0,62,0,2574
Eubacterium_R sp900539845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,30,0,0,0,0,0,0,27,0,0,0,317,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
RC9 sp004556005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,15,24,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veillonella_A magna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,0,0,37,0,124,0,0,0,0,13,0,0,27,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,75,0,16
UBA1221 sp900770525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,2524,0,339,0,178,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,30
UMGS1670 sp900553995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4501,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,28,0,0,142,0,246,0,12,0,62,0,0,0,0,0,363,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,61,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
UBA1691 sp002320555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,26,0,0,223,0,28,0,37,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,638
CAG-1193 sp000436255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,69,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
